Date,USD_JPY,CPI,change_USD_JPY,change_CPI
1-Mar,118.02,3.020134,-0.000846597,0.013169614
1-Apr,118.9,2.224694,0.007456363,-0.263379042
1-May,119.32,2.057842,0.00353238,-0.074999978
1-Jun,119.74,2.112285,0.003519946,0.026456356
1-Jul,120.6,2.109939,0.007182228,-0.001110646
1-Aug,116.89,2.158273,-0.030762852,0.022907771
1-Sep,111.48,2.320442,-0.04628283,0.075138317
1-Oct,109.95,2.040816,-0.013724435,-0.12050549
1-Nov,109.61,1.76503,-0.003092315,-0.135135162
1-Dec,107.45,1.879491,-0.019706231,0.064849323
1-Jan,105.71,1.926252,-0.016193578,0.024879608
1-Feb,109.13,1.693064,0.032352663,-0.121057889
1-Mar,104.21,1.737242,-0.045083845,0.02609352
1-Apr,110.41,2.285093,0.05949525,0.315356755
1-May,109.52,3.051771,-0.008060864,0.335512822
1-Jun,108.89,3.266195,-0.005752374,0.070262153
1-Jul,111.46,2.990756,0.0236018,-0.084330237
1-Aug,109.14,2.654388,-0.020814642,-0.112469222
1-Sep,110.03,2.537797,0.008154664,-0.043923872
1-Oct,105.79,3.189189,-0.038534945,0.256676164
1-Nov,102.91,3.523035,-0.027223745,0.104680532
1-Dec,102.47,3.255562,-0.004275581,-0.075921187
1-Jan,103.67,2.969762,0.011710745,-0.087788222
1-Feb,104.58,3.007519,0.008777853,0.012713813
1-Mar,107.11,3.148346,0.024192006,0.046824974
1-Apr,104.67,3.510638,-0.022780319,0.115073756
1-May,108.53,2.80275,0.036877806,-0.201640841
1-Jun,110.81,2.530311,0.021008016,-0.097204174
1-Jul,112.55,3.167899,0.015702554,0.251980093
1-Aug,110.62,3.641161,-0.017147934,0.14939302
1-Sep,113.5,4.686677,0.026035075,0.287138086
1-Oct,116.39,4.347826,0.025462555,-0.072300907
1-Nov,119.81,3.455497,0.029383968,-0.205235674
1-Dec,117.96,3.415659,-0.015441115,-0.011528877
1-Jan,117.25,3.985317,-0.006018989,0.166778358
1-Feb,115.77,3.597497,-0.012622601,-0.097312209
1-Mar,117.68,3.362649,0.016498229,-0.065280944
1-Apr,113.85,3.545735,-0.032545887,0.054446955
1-May,112.59,4.166667,-0.011067194,0.175120814
1-Jun,114.44,4.318766,0.016431299,0.036503757
1-Jul,114.69,4.145343,0.002184551,-0.040155683
1-Aug,117.36,3.818737,0.023280146,-0.078788655
1-Sep,118.18,2.062374,0.006987048,-0.459932957
1-Oct,116.95,1.305221,-0.010407852,-0.367126913
1-Nov,115.78,1.973684,-0.010004275,0.512145453
1-Dec,119.02,2.54065,0.027984108,0.287262804
1-Jan,120.67,2.075643,0.013863216,-0.183026784
1-Feb,118.45,2.415199,-0.018397282,0.163590752
1-Mar,117.79,2.778779,-0.005571971,0.15053832
1-Apr,119.47,2.573697,0.014262671,-0.073802918
1-May,121.73,2.690864,0.018916883,0.045524784
1-Jun,123.17,2.687038,0.011829459,-0.001421848
1-Jul,118.41,2.358231,-0.038645774,-0.122367827
1-Aug,115.77,1.970083,-0.022295414,-0.164592866
1-Sep,114.82,2.755052,-0.008205926,0.398444634
1-Oct,115.31,3.536175,0.004267549,0.283523868
1-Nov,111.19,4.306203,-0.035729772,0.217757323
1-Dec,111.36,4.081269,0.001528914,-0.052234881
1-Jan,106.36,4.280294,-0.044899425,0.04876547
